============================================================
ADAPTIVE WALL + AGGRESSION BACKTEST
============================================================

Regime Detection: 300 bar lookback
Choppy Mode: PT/SL = 10/5 ticks
Trend Mode:  PT/SL = 20/8 ticks
Trend filters: Only trade WITH the trend

============================================================
Backtesting 2025-10-10...
============================================================
  Processing 58354 bars...

  [choppy       ] ENTER SHORT: choppy_breakout_ask@25322.25 @ 25316.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25306.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25300.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25299.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25302.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25301.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25300.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25299.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25299.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25302.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25300.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25299.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25296.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25294.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25294.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25292.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25291.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25294.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25293.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25294.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25294.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25292.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25291.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25288.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25287.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25290.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25289.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25289.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25288.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25289.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25290.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25289.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25285.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25287.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25288.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25286.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25291.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25291.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25290.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25289.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25287.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25288.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25290.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25291.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25289.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25285.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25270.00 @ 25276.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25275.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25270.00 @ 25275.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25273.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25270.00 @ 25272.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25271.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25270.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25273.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25270.00 @ 25277.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25275.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25270.00 @ 25275.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25273.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25271.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25270.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25268.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25271.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25264.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25263.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25261.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25260.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25259.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25261.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25260.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25262.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25254.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25252.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25256.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25255.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25255.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25257.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25256.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25255.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25256.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25259.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25261.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25259.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25250.00 @ 25261.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25264.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25265.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25268.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25266.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25264.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25266.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25264.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25263.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25266.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25260.00 @ 25264.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25267.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25272.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25271.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25274.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25272.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25274.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25273.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25275.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25277.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25273.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25275.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25275.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25277.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25277.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25280.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25285.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25287.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25288.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25286.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25281.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25283.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25280.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25278.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25278.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25280.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25280.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25282.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25284.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25283.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25292.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25291.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25288.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25288.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25291.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25290.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25289.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25291.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25290.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25290.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25290.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25289.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25290.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25288.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25288.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25287.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25288.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25287.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25285.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25283.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25287.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25286.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25285.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25285.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25282.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25281.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25288.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25287.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25288.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25287.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25281.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25279.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25282.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25284.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25285.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25284.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25283.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25281.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25276.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25275.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25279.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25278.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25278.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25281.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25275.00 @ 25282.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25281.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25284.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25283.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25284.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25282.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25283.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25285.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25285.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25288.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25290.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25293.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25285.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25285.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25284.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25287.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25286.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25285.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25285.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25284.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25286.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25289.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25291.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25293.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25295.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25294.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25294.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25293.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25291.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25290.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25292.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25291.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25291.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25290.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25290.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25292.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25290.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25293.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25295.00 @ 25294.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25293.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25294.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25293.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25293.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25296.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25296.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25294.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25289.50 @ 25296.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25297.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25289.50 @ 25301.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25302.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25297.00 @ 25303.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25305.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25308.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25309.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25309.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25311.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25305.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25303.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25302.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25300.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25304.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25305.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25306.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25308.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25311.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25312.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25311.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25308.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25309.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25311.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25311.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25312.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25308.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25305.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25309.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25310.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25298.00 @ 25309.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25307.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25310.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25308.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25311.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25312.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25289.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25290.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25300.00 @ 25312.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25310.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25307.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25308.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25309.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25310.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25310.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25308.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25309.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25310.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25314.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25315.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25316.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25313.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25316.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25317.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25317.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25318.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25321.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25319.25 | P&L: $+20.00
